Chart Date|Rank|Album|Artist|Spotify Album ID|Peak Pos|Weeks|Change
2017-02-25|1|Traveller|Chris Stapleton|5vfPzN4hQAajJEUrZHlJgx|1|39|0
2017-02-25|2|Cleopatra|The Lumineers|2zbTrm2pIAErzFSopinkbN|1|44|0
2017-02-25|3|A / B|Kaleo|4he4SQup02hEIQdwhZlZlk|3|35|+1
2017-02-25|4|Fire On The Floor|Beth Hart|2lsOrtqnpScvxYvOrqQcl3|4|1|Hot Shot Debut
2017-02-25|5|Hozier|Hozier|7HW03Zew4rnOhy5uwskRSz|1|85|+1
2017-02-25|6|The Lumineers|The Lumineers|155N1gV0cIFYaLiy3I5d83|1|95|-1
2017-02-25|7|+|Ed Sheeran|3Zao4egmTSVP5LfAhHO4o1|1|80|0
2017-02-25|8|The Search For Everything : Wave One (EP)|John Mayer||1|3|-5
2017-02-25|9|Chaos And The Calm|James Bay|3GqsyMrJu3o8jLiGyBsBQW|1|81|0
2017-02-25|10|Simon And Garfunkel's Greatest Hits|Simon & Garfunkel|6chHu0q9oavsCDEB8vMiTw|10|3|0
2017-02-25|11|Chain Breaker|Zach Williams|1bvp9WHoru1DM93wIn4sAm|8|7|-3
2017-02-25|12|Dream Your Life Away|Vance Joy|6rIbiUMmZJfqJRnXhVxFvg|2|80|+1
2017-02-25|13|A Sailor's Guide To Earth|Sturgill Simpson|5I3UdCxtIh6hkQ7rMPUvA4|1|42|+2
2017-02-25|14|Continuum|John Mayer|1Xsprdt1q9rOzTic7b9zYM|8|3|-3
2017-02-25|15|Sigh No More|Mumford & Sons|4EnpeGmIkEf8nAaBLLTBZn|1|192|+1
2017-02-25|16|In Between Dreams|Jack Johnson|7tTc46dNdE6GGuiQsssWxo|16|3|+1
2017-02-25|17|Babel|Mumford & Sons|5uJpRBjDkTW8wtwDimhkdm|1|81|+4
2017-02-25|18|22, A Million|Bon Iver|1PgfRdl3lPyACfUGH4pquG|1|19|0
2017-02-25|19|The Essential Bob Dylan (2014)|Bob Dylan|1y3abw64BlSEeFuuhjlke1|16|13|0
2017-02-25|20|Nathaniel Rateliff & The Night Sweats|Nathaniel Rateliff & The Night Sweats|4fJVmBWTmwohP1RgAS5a2W|1|77|+5
2017-02-25|21|Signs Of Light|The Head And The Heart|0EFitK3T7hqin7iGMbpltM|1|22|+2
2017-02-25|22|Greatest Hits|James Taylor|2L4U4JjEADYaVltkvDrkCC|13|2|Re-Entry
2017-02-25|23|Folk Hop N' Roll|Judah And The Lion|3d3d8uECW5WGhqL8vai8q3|7|4|Re-Entry
2017-02-25|24|Sound & Color|Alabama Shakes|03nQNGFi3dIxg6ghNbtVWW|8|22|0
2017-02-25|25|All The Little Lights|Passenger|2sRnJq6dfXdqhIflBk0ve1|1|84|Re-Entry
2017-02-18|1|Traveller|Chris Stapleton|5vfPzN4hQAajJEUrZHlJgx|1|38|+1
2017-02-18|2|Cleopatra|The Lumineers|2zbTrm2pIAErzFSopinkbN|1|43|+1
2017-02-18|3|The Search For Everything : Wave One (EP)|John Mayer||1|2|-2
2017-02-18|4|A / B|Kaleo|4he4SQup02hEIQdwhZlZlk|3|34|0
2017-02-18|5|The Lumineers|The Lumineers|155N1gV0cIFYaLiy3I5d83|1|94|+2
2017-02-18|6|Hozier|Hozier|7HW03Zew4rnOhy5uwskRSz|1|84|-1
2017-02-18|7|+|Ed Sheeran|3Zao4egmTSVP5LfAhHO4o1|1|79|-1
2017-02-18|8|Chain Breaker|Zach Williams|1bvp9WHoru1DM93wIn4sAm|8|6|+14
2017-02-18|9|Chaos And The Calm|James Bay|3GqsyMrJu3o8jLiGyBsBQW|1|80|+2
2017-02-18|10|Simon And Garfunkel's Greatest Hits|Simon & Garfunkel|6chHu0q9oavsCDEB8vMiTw|10|2|+13
2017-02-18|11|Continuum|John Mayer|1Xsprdt1q9rOzTic7b9zYM|8|2|-3
2017-02-18|12|The Fall|Joshua Radin|2fYkkAXRAWKkweqOaRzwYG|12|1|Hot Shot Debut
2017-02-18|13|Dream Your Life Away|Vance Joy|6rIbiUMmZJfqJRnXhVxFvg|2|79|-1
2017-02-18|14|Prick Of The Litter|Delbert McClinton & Self-Made Men||14|1|New
2017-02-18|15|A Sailor's Guide To Earth|Sturgill Simpson|5I3UdCxtIh6hkQ7rMPUvA4|1|41|-5
2017-02-18|16|Sigh No More|Mumford & Sons|4EnpeGmIkEf8nAaBLLTBZn|1|191|-2
2017-02-18|17|In Between Dreams|Jack Johnson|7tTc46dNdE6GGuiQsssWxo|17|2|0
2017-02-18|18|22, A Million|Bon Iver|1PgfRdl3lPyACfUGH4pquG|1|18|-3
2017-02-18|19|The Essential Bob Dylan (2014)|Bob Dylan|1y3abw64BlSEeFuuhjlke1|16|12|-3
2017-02-18|20|Furnace|Dead Man Winter|6062DQkgLfs22EtZX4GTjl|20|1|New
2017-02-18|21|Babel|Mumford & Sons|5uJpRBjDkTW8wtwDimhkdm|1|80|-3
2017-02-18|22|Stitch Of The World|Tift Merritt|1njs7S9CISvqEMQqx6zGd1|22|1|New
2017-02-18|23|Signs Of Light|The Head And The Heart|0EFitK3T7hqin7iGMbpltM|1|21|+1
2017-02-18|24|Sound & Color|Alabama Shakes|03nQNGFi3dIxg6ghNbtVWW|8|21|Re-Entry
2017-02-18|25|Nathaniel Rateliff & The Night Sweats|Nathaniel Rateliff & The Night Sweats|4fJVmBWTmwohP1RgAS5a2W|1|76|-6
2017-02-11|1|The Search For Everything : Wave One (EP)|John Mayer||1|1|Hot Shot Debut
2017-02-11|2|Traveller|Chris Stapleton|5vfPzN4hQAajJEUrZHlJgx|1|37|-1
2017-02-11|3|Cleopatra|The Lumineers|2zbTrm2pIAErzFSopinkbN|1|42|0
2017-02-11|4|A / B|Kaleo|4he4SQup02hEIQdwhZlZlk|3|33|0
2017-02-11|5|Hozier|Hozier|7HW03Zew4rnOhy5uwskRSz|1|83|Re-Entry
2017-02-11|6|+|Ed Sheeran|3Zao4egmTSVP5LfAhHO4o1|1|78|Re-Entry
2017-02-11|7|The Lumineers|The Lumineers|155N1gV0cIFYaLiy3I5d83|1|93|Re-Entry
2017-02-11|8|Continuum|John Mayer|1Xsprdt1q9rOzTic7b9zYM|8|1|New
2017-02-11|9|The Best Of Simon & Garfunkel|Simon & Garfunkel|1QZN8UEUSKscmRiAWLZHGg|9|1|New
2017-02-11|10|A Sailor's Guide To Earth|Sturgill Simpson|5I3UdCxtIh6hkQ7rMPUvA4|1|40|-8
2017-02-11|11|Chaos And The Calm|James Bay|3GqsyMrJu3o8jLiGyBsBQW|1|79|Re-Entry
2017-02-11|12|Dream Your Life Away|Vance Joy|6rIbiUMmZJfqJRnXhVxFvg|2|78|Re-Entry
2017-02-11|13|Greatest Hits|James Taylor|2L4U4JjEADYaVltkvDrkCC|13|1|New
2017-02-11|14|Sigh No More|Mumford & Sons|4EnpeGmIkEf8nAaBLLTBZn|1|190|Re-Entry
2017-02-11|15|22, A Million|Bon Iver|1PgfRdl3lPyACfUGH4pquG|1|17|-9
2017-02-11|16|The Essential Bob Dylan (2014)|Bob Dylan|1y3abw64BlSEeFuuhjlke1|16|11|Re-Entry
2017-02-11|17|In Between Dreams|Jack Johnson|7tTc46dNdE6GGuiQsssWxo|17|1|New
2017-02-11|18|Babel|Mumford & Sons|5uJpRBjDkTW8wtwDimhkdm|1|79|Re-Entry
2017-02-11|19|Nathaniel Rateliff & The Night Sweats|Nathaniel Rateliff & The Night Sweats|4fJVmBWTmwohP1RgAS5a2W|1|75|-11
2017-02-11|20|Folk Hop N' Roll|Judah And The Lion|3d3d8uECW5WGhqL8vai8q3|7|3|+2
2017-02-11|21|The Intro (EP)|Ruth B||7|36|Re-Entry
2017-02-11|22|Chain Breaker|Zach Williams|1bvp9WHoru1DM93wIn4sAm|16|5|-6
2017-02-11|23|Simon And Garfunkel's Greatest Hits|Simon & Garfunkel|6chHu0q9oavsCDEB8vMiTw|10|1|New
2017-02-11|24|Signs Of Light|The Head And The Heart|0EFitK3T7hqin7iGMbpltM|1|20|-13
2017-02-11|25|Hope|The Strumbellas|3WssRTXDMQPIv8uFBVkEZH|3|17|Re-Entry
2017-02-04|1|Traveller|Chris Stapleton|5vfPzN4hQAajJEUrZHlJgx|1|36|0
2017-02-04|2|A Sailor's Guide To Earth|Sturgill Simpson|5I3UdCxtIh6hkQ7rMPUvA4|1|39|+5
2017-02-04|3|Cleopatra|The Lumineers|2zbTrm2pIAErzFSopinkbN|1|41|-1
2017-02-04|4|A / B|Kaleo|4he4SQup02hEIQdwhZlZlk|3|32|0
2017-02-04|5|You Want It Darker|Leonard Cohen|27eWVkS6UHIGouKtlfN1uT|1|13|-2
2017-02-04|6|22, A Million|Bon Iver|1PgfRdl3lPyACfUGH4pquG|1|16|-1
2017-02-04|7|Laws Of Gravity|The Infamous Stringdusters|0yXaxoA7bBeXc31NQxiv93|7|1|Hot Shot Debut
2017-02-04|8|Nathaniel Rateliff & The Night Sweats|Nathaniel Rateliff & The Night Sweats|4fJVmBWTmwohP1RgAS5a2W|1|74|0
2017-02-04|9|Keep Me Singing|Van Morrison|40hRF2ZOWSUxCu2iY5pEYL|2|16|+1
2017-02-04|10|Puxico|Natalie Hemby|24wTPEb0rJiR9RdVBv9EQA|10|1|New
2017-02-04|11|Signs Of Light|The Head And The Heart|0EFitK3T7hqin7iGMbpltM|1|19|0
2017-02-04|12|Peace Trail|Neil Young|20Kfu8nG8cbCsxSexSFfbV|3|6|-6
2017-02-04|13|Pure & Simple|Dolly Parton|09xuqHRVpQp8AI5Pz9Oq9M|1|22|+4
2017-02-04|14|True Sadness|The Avett Brothers|6aMhaNYwh1OwoJnNrNbm6Q|1|27|-2
2017-02-04|15|Duende|The Band Of Heathens|5rn6UKHdcFK3Vpix9LHcxz|15|1|New
2017-02-04|16|Chain Breaker|Zach Williams|1bvp9WHoru1DM93wIn4sAm|16|4|0
2017-02-04|17|My Woman|Angel Olsen|5M8xQaQZuW2LZGVXZ3mlKN|2|11|-4
2017-02-04|18|Eternally Even|Jim James|2wYw4vZlu7XwvtdQPRmsmL|3|9|+2
2017-02-04|19|American Band|Drive-By Truckers|43EtynQuS3r5afZnSY1sYb|4|15|+2
2017-02-04|20|For Better, Or Worse|John Prine|1bf1EYVB9GkgDkbGTrSiyT|5|16|-11
2017-02-04|21|The Real Royal Albert Hall 1966 Concert!|Bob Dylan|4MTOvlFGtVby5EuSotjvVS|4|8|-6
2017-02-04|22|Folk Hop N' Roll|Judah And The Lion|3d3d8uECW5WGhqL8vai8q3|7|2|Re-Entry
2017-02-04|23|A Little Something More From Nathaniel Rateliff & The Night Sweats|Nathaniel Rateliff & The Night Sweats|50F6chRFRN4SXhktKkEg45|3|6|-9
2017-02-04|24|Acoustic Recordings: 1998-2016|Jack White|28ZpbmiMcDjsms2UKjILCr|2|17|-2
2017-02-04|25|Fear & Love|Jake Clemons|0ugfI2emA1F0HGpQbt68d1|25|1|New
2017-01-28|1|Traveller|Chris Stapleton|5vfPzN4hQAajJEUrZHlJgx|1|35|0
2017-01-28|2|Cleopatra|The Lumineers|2zbTrm2pIAErzFSopinkbN|1|40|0
2017-01-28|3|You Want It Darker|Leonard Cohen|27eWVkS6UHIGouKtlfN1uT|1|12|0
2017-01-28|4|A / B|Kaleo|4he4SQup02hEIQdwhZlZlk|3|31|+1
2017-01-28|5|22, A Million|Bon Iver|1PgfRdl3lPyACfUGH4pquG|1|15|-1
2017-01-28|6|Peace Trail|Neil Young|20Kfu8nG8cbCsxSexSFfbV|3|5|+3
2017-01-28|7|A Sailor's Guide To Earth|Sturgill Simpson|5I3UdCxtIh6hkQ7rMPUvA4|1|38|-1
2017-01-28|8|Nathaniel Rateliff & The Night Sweats|Nathaniel Rateliff & The Night Sweats|4fJVmBWTmwohP1RgAS5a2W|1|73|-1
2017-01-28|9|For Better, Or Worse|John Prine|1bf1EYVB9GkgDkbGTrSiyT|5|15|+7
2017-01-28|10|Keep Me Singing|Van Morrison|40hRF2ZOWSUxCu2iY5pEYL|2|15|+3
2017-01-28|11|Signs Of Light|The Head And The Heart|0EFitK3T7hqin7iGMbpltM|1|18|+1
2017-01-28|12|True Sadness|The Avett Brothers|6aMhaNYwh1OwoJnNrNbm6Q|1|26|-1
2017-01-28|13|My Woman|Angel Olsen|5M8xQaQZuW2LZGVXZ3mlKN|2|10|-5
2017-01-28|14|A Little Something More From Nathaniel Rateliff & The Night Sweats|Nathaniel Rateliff & The Night Sweats|50F6chRFRN4SXhktKkEg45|3|5|+7
2017-01-28|15|The Real Royal Albert Hall 1966 Concert!|Bob Dylan|4MTOvlFGtVby5EuSotjvVS|4|7|-1
2017-01-28|16|Chain Breaker|Zach Williams|1bvp9WHoru1DM93wIn4sAm|16|3|+3
2017-01-28|17|Pure & Simple|Dolly Parton|09xuqHRVpQp8AI5Pz9Oq9M|1|21|-7
2017-01-28|18|Like An Arrow|Blackberry Smoke|4r0Zb1FdEFbpF5olm5ZIW0|1|10|+2
2017-01-28|19|Midwest Farmer's Daughter|Margo Price|1ltdOb1CJGjzMW52gq2U9t|5|23|-4
2017-01-28|20|Eternally Even|Jim James|2wYw4vZlu7XwvtdQPRmsmL|3|8|+3
2017-01-28|21|American Band|Drive-By Truckers|43EtynQuS3r5afZnSY1sYb|4|14|-4
2017-01-28|22|Acoustic Recordings: 1998-2016|Jack White|28ZpbmiMcDjsms2UKjILCr|2|16|-4
2017-01-28|23|Dig In Deep|Bonnie Raitt|5vN4mU8RJ1rllLYGlIuOKR|1|31|+1
2017-01-28|24|Campfire II: Simplicity|Rend Collective|6M534LEjzYqHmV0afXaHZm|24|1|Hot Shot Debut
2017-01-28|25|Schmilco|Wilco|2s037WsNDbSTIEb7OJjT0a|3|14|-3
2017-01-21|1|Traveller|Chris Stapleton|5vfPzN4hQAajJEUrZHlJgx|1|34|0
2017-01-21|2|Cleopatra|The Lumineers|2zbTrm2pIAErzFSopinkbN|1|39|0
2017-01-21|3|You Want It Darker|Leonard Cohen|27eWVkS6UHIGouKtlfN1uT|1|11|0
2017-01-21|4|22, A Million|Bon Iver|1PgfRdl3lPyACfUGH4pquG|1|14|0
2017-01-21|5|A / B|Kaleo|4he4SQup02hEIQdwhZlZlk|3|30|+3
2017-01-21|6|A Sailor's Guide To Earth|Sturgill Simpson|5I3UdCxtIh6hkQ7rMPUvA4|1|37|+1
2017-01-21|7|Nathaniel Rateliff & The Night Sweats|Nathaniel Rateliff & The Night Sweats|4fJVmBWTmwohP1RgAS5a2W|1|72|+2
2017-01-21|8|My Woman|Angel Olsen|5M8xQaQZuW2LZGVXZ3mlKN|2|9|+6
2017-01-21|9|Peace Trail|Neil Young|20Kfu8nG8cbCsxSexSFfbV|3|4|-3
2017-01-21|10|Pure & Simple|Dolly Parton|09xuqHRVpQp8AI5Pz9Oq9M|1|20|-5
2017-01-21|11|True Sadness|The Avett Brothers|6aMhaNYwh1OwoJnNrNbm6Q|1|25|+4
2017-01-21|12|Signs Of Light|The Head And The Heart|0EFitK3T7hqin7iGMbpltM|1|17|0
2017-01-21|13|Keep Me Singing|Van Morrison|40hRF2ZOWSUxCu2iY5pEYL|2|14|0
2017-01-21|14|The Real Royal Albert Hall 1966 Concert!|Bob Dylan|4MTOvlFGtVby5EuSotjvVS|4|6|-3
2017-01-21|15|Midwest Farmer's Daughter|Margo Price|1ltdOb1CJGjzMW52gq2U9t|5|22|+9
2017-01-21|16|For Better, Or Worse|John Prine|1bf1EYVB9GkgDkbGTrSiyT|5|14|+7
2017-01-21|17|American Band|Drive-By Truckers|43EtynQuS3r5afZnSY1sYb|4|13|+5
2017-01-21|18|Acoustic Recordings: 1998-2016|Jack White|28ZpbmiMcDjsms2UKjILCr|2|15|-2
2017-01-21|19|Chain Breaker|Zach Williams|1bvp9WHoru1DM93wIn4sAm|19|2|+6
2017-01-21|20|Like An Arrow|Blackberry Smoke|4r0Zb1FdEFbpF5olm5ZIW0|1|9|0
2017-01-21|21|A Little Something More From Nathaniel Rateliff & The Night Sweats|Nathaniel Rateliff & The Night Sweats|50F6chRFRN4SXhktKkEg45|3|4|Re-Entry
2017-01-21|22|Schmilco|Wilco|2s037WsNDbSTIEb7OJjT0a|3|13|-3
2017-01-21|23|Eternally Even|Jim James|2wYw4vZlu7XwvtdQPRmsmL|3|7|-6
2017-01-21|24|Dig In Deep|Bonnie Raitt|5vN4mU8RJ1rllLYGlIuOKR|1|30|Re-Entry
2017-01-21|25|Stranger To Stranger|Paul Simon|1ujZpTYHOc5XS0JIBKjUaI|1|24|-7
2017-01-14|1|Traveller|Chris Stapleton|5vfPzN4hQAajJEUrZHlJgx|1|33|0
2017-01-14|2|Cleopatra|The Lumineers|2zbTrm2pIAErzFSopinkbN|1|38|+1
2017-01-14|3|You Want It Darker|Leonard Cohen|27eWVkS6UHIGouKtlfN1uT|1|10|-1
2017-01-14|4|22, A Million|Bon Iver|1PgfRdl3lPyACfUGH4pquG|1|13|+2
2017-01-14|5|Pure & Simple|Dolly Parton|09xuqHRVpQp8AI5Pz9Oq9M|1|19|0
2017-01-14|6|Peace Trail|Neil Young|20Kfu8nG8cbCsxSexSFfbV|3|3|-2
2017-01-14|7|A Sailor's Guide To Earth|Sturgill Simpson|5I3UdCxtIh6hkQ7rMPUvA4|1|36|+4
2017-01-14|8|A / B|Kaleo|4he4SQup02hEIQdwhZlZlk|3|29|+4
2017-01-14|9|Nathaniel Rateliff & The Night Sweats|Nathaniel Rateliff & The Night Sweats|4fJVmBWTmwohP1RgAS5a2W|1|71|-1
2017-01-14|10|Christmas Party|She & Him|4s3vR4B3qPc9U5Gs1NPxLR|5|9|-3
2017-01-14|11|The Real Royal Albert Hall 1966 Concert!|Bob Dylan|4MTOvlFGtVby5EuSotjvVS|4|5|-2
2017-01-14|12|Signs Of Light|The Head And The Heart|0EFitK3T7hqin7iGMbpltM|1|16|+4
2017-01-14|13|Keep Me Singing|Van Morrison|40hRF2ZOWSUxCu2iY5pEYL|2|13|-3
2017-01-14|14|My Woman|Angel Olsen|5M8xQaQZuW2LZGVXZ3mlKN|2|8|+4
2017-01-14|15|True Sadness|The Avett Brothers|6aMhaNYwh1OwoJnNrNbm6Q|1|24|+2
2017-01-14|16|Acoustic Recordings: 1998-2016|Jack White|28ZpbmiMcDjsms2UKjILCr|2|14|-2
2017-01-14|17|Eternally Even|Jim James|2wYw4vZlu7XwvtdQPRmsmL|3|6|+7
2017-01-14|18|Stranger To Stranger|Paul Simon|1ujZpTYHOc5XS0JIBKjUaI|1|23|-3
2017-01-14|19|Schmilco|Wilco|2s037WsNDbSTIEb7OJjT0a|3|12|+2
2017-01-14|20|Like An Arrow|Blackberry Smoke|4r0Zb1FdEFbpF5olm5ZIW0|1|8|Re-Entry
2017-01-14|21|Blue Mountain|Bob Weir|7dmOAk0RGFp5T4TaOoPxFl|3|11|-1
2017-01-14|22|American Band|Drive-By Truckers|43EtynQuS3r5afZnSY1sYb|4|12|0
2017-01-14|23|For Better, Or Worse|John Prine|1bf1EYVB9GkgDkbGTrSiyT|5|13|-10
2017-01-14|24|Midwest Farmer's Daughter|Margo Price|1ltdOb1CJGjzMW52gq2U9t|5|21|Re-Entry
2017-01-14|25|Chain Breaker|Zach Williams|1bvp9WHoru1DM93wIn4sAm|25|1|Hot Shot Debut
2017-01-07|1|Traveller|Chris Stapleton|5vfPzN4hQAajJEUrZHlJgx|1|32|0
2017-01-07|2|You Want It Darker|Leonard Cohen|27eWVkS6UHIGouKtlfN1uT|1|9|0
2017-01-07|3|Cleopatra|The Lumineers|2zbTrm2pIAErzFSopinkbN|1|37|+1
2017-01-07|4|Peace Trail|Neil Young|20Kfu8nG8cbCsxSexSFfbV|3|2|-1
2017-01-07|5|Pure & Simple|Dolly Parton|09xuqHRVpQp8AI5Pz9Oq9M|1|18|0
2017-01-07|6|22, A Million|Bon Iver|1PgfRdl3lPyACfUGH4pquG|1|12|0
2017-01-07|7|Christmas Party|She & Him|4s3vR4B3qPc9U5Gs1NPxLR|5|8|0
2017-01-07|8|Nathaniel Rateliff & The Night Sweats|Nathaniel Rateliff & The Night Sweats|4fJVmBWTmwohP1RgAS5a2W|1|70|+3
2017-01-07|9|The Real Royal Albert Hall 1966 Concert!|Bob Dylan|4MTOvlFGtVby5EuSotjvVS|4|4|-1
2017-01-07|10|Keep Me Singing|Van Morrison|40hRF2ZOWSUxCu2iY5pEYL|2|12|+2
2017-01-07|11|A Sailor's Guide To Earth|Sturgill Simpson|5I3UdCxtIh6hkQ7rMPUvA4|1|35|-2
2017-01-07|12|A / B|Kaleo|4he4SQup02hEIQdwhZlZlk|3|28|-2
2017-01-07|13|For Better, Or Worse|John Prine|1bf1EYVB9GkgDkbGTrSiyT|5|12|+7
2017-01-07|14|Acoustic Recordings: 1998-2016|Jack White|28ZpbmiMcDjsms2UKjILCr|2|13|+3
2017-01-07|15|Stranger To Stranger|Paul Simon|1ujZpTYHOc5XS0JIBKjUaI|1|22|0
2017-01-07|16|Signs Of Light|The Head And The Heart|0EFitK3T7hqin7iGMbpltM|1|15|-3
2017-01-07|17|True Sadness|The Avett Brothers|6aMhaNYwh1OwoJnNrNbm6Q|1|23|+1
2017-01-07|18|My Woman|Angel Olsen|5M8xQaQZuW2LZGVXZ3mlKN|2|7|+4
2017-01-07|19|Dig In Deep|Bonnie Raitt|5vN4mU8RJ1rllLYGlIuOKR|1|29|+6
2017-01-07|20|Blue Mountain|Bob Weir|7dmOAk0RGFp5T4TaOoPxFl|3|10|-1
2017-01-07|21|Schmilco|Wilco|2s037WsNDbSTIEb7OJjT0a|3|11|0
2017-01-07|22|American Band|Drive-By Truckers|43EtynQuS3r5afZnSY1sYb|4|11|+1
2017-01-07|23|Swimmin' Pools, Movie Stars...|Dwight Yoakam|3TQX6fqahJ102KUTfEr9lR|2|8|-7
2017-01-07|24|Eternally Even|Jim James|2wYw4vZlu7XwvtdQPRmsmL|3|5|0
2017-01-07|25|Boots No. 1: The Official Revival Bootleg|Gillian Welch|235ZzGz026rUvay44aA8JU|5|3|Re-Entry
2016-12-31|1|Traveller|Chris Stapleton|5vfPzN4hQAajJEUrZHlJgx|1|31|0
2016-12-31|2|You Want It Darker|Leonard Cohen|27eWVkS6UHIGouKtlfN1uT|1|8|+1
2016-12-31|3|Peace Trail|Neil Young|20Kfu8nG8cbCsxSexSFfbV|3|1|Hot Shot Debut
2016-12-31|4|Cleopatra|The Lumineers|2zbTrm2pIAErzFSopinkbN|1|36|+1
2016-12-31|5|Pure & Simple|Dolly Parton|09xuqHRVpQp8AI5Pz9Oq9M|1|17|+1
2016-12-31|6|22, A Million|Bon Iver|1PgfRdl3lPyACfUGH4pquG|1|11|+2
2016-12-31|7|Christmas Party|She & Him|4s3vR4B3qPc9U5Gs1NPxLR|5|7|+2
2016-12-31|8|The Real Royal Albert Hall 1966 Concert!|Bob Dylan|4MTOvlFGtVby5EuSotjvVS|4|3|-4
2016-12-31|9|A Sailor's Guide To Earth|Sturgill Simpson|5I3UdCxtIh6hkQ7rMPUvA4|1|34|-2
2016-12-31|10|A / B|Kaleo|4he4SQup02hEIQdwhZlZlk|3|27|+2
2016-12-31|11|Nathaniel Rateliff & The Night Sweats|Nathaniel Rateliff & The Night Sweats|4fJVmBWTmwohP1RgAS5a2W|1|69|-1
2016-12-31|12|Keep Me Singing|Van Morrison|40hRF2ZOWSUxCu2iY5pEYL|2|11|-1
2016-12-31|13|Signs Of Light|The Head And The Heart|0EFitK3T7hqin7iGMbpltM|1|14|+2
2016-12-31|14|ONXRT: 18|Various Artists||2|2|-12
2016-12-31|15|Stranger To Stranger|Paul Simon|1ujZpTYHOc5XS0JIBKjUaI|1|21|+1
2016-12-31|16|Swimmin' Pools, Movie Stars...|Dwight Yoakam|3TQX6fqahJ102KUTfEr9lR|2|7|+8
2016-12-31|17|Acoustic Recordings: 1998-2016|Jack White|28ZpbmiMcDjsms2UKjILCr|2|12|+1
2016-12-31|18|True Sadness|The Avett Brothers|6aMhaNYwh1OwoJnNrNbm6Q|1|22|-1
2016-12-31|19|Blue Mountain|Bob Weir|7dmOAk0RGFp5T4TaOoPxFl|3|9|+1
2016-12-31|20|For Better, Or Worse|John Prine|1bf1EYVB9GkgDkbGTrSiyT|5|11|-6
2016-12-31|21|Schmilco|Wilco|2s037WsNDbSTIEb7OJjT0a|3|10|Re-Entry
2016-12-31|22|My Woman|Angel Olsen|5M8xQaQZuW2LZGVXZ3mlKN|2|6|Re-Entry
2016-12-31|23|American Band|Drive-By Truckers|43EtynQuS3r5afZnSY1sYb|4|10|-2
2016-12-31|24|Eternally Even|Jim James|2wYw4vZlu7XwvtdQPRmsmL|3|4|Re-Entry
2016-12-31|25|Dig In Deep|Bonnie Raitt|5vN4mU8RJ1rllLYGlIuOKR|1|28|Re-Entry
2016-12-24|1|Traveller|Chris Stapleton|5vfPzN4hQAajJEUrZHlJgx|1|30|0
2016-12-24|2|ONXRT: 18|Various Artists||2|1|Hot Shot Debut
2016-12-24|3|You Want It Darker|Leonard Cohen|27eWVkS6UHIGouKtlfN1uT|1|7|-1
2016-12-24|4|The Real Royal Albert Hall 1966 Concert!|Bob Dylan|4MTOvlFGtVby5EuSotjvVS|4|2|+8
2016-12-24|5|Cleopatra|The Lumineers|2zbTrm2pIAErzFSopinkbN|1|35|-2
2016-12-24|6|Pure & Simple|Dolly Parton|09xuqHRVpQp8AI5Pz9Oq9M|1|16|-2
2016-12-24|7|A Sailor's Guide To Earth|Sturgill Simpson|5I3UdCxtIh6hkQ7rMPUvA4|1|33|+13
2016-12-24|8|22, A Million|Bon Iver|1PgfRdl3lPyACfUGH4pquG|1|10|-2
2016-12-24|9|Christmas Party|She & Him|4s3vR4B3qPc9U5Gs1NPxLR|5|6|-1
2016-12-24|10|Nathaniel Rateliff & The Night Sweats|Nathaniel Rateliff & The Night Sweats|4fJVmBWTmwohP1RgAS5a2W|1|68|+3
2016-12-24|11|Keep Me Singing|Van Morrison|40hRF2ZOWSUxCu2iY5pEYL|2|10|+4
2016-12-24|12|A / B|Kaleo|4he4SQup02hEIQdwhZlZlk|3|26|-3
2016-12-24|13|Boots No. 1: The Official Revival Bootleg|Gillian Welch|235ZzGz026rUvay44aA8JU|5|2|-8
2016-12-24|14|For Better, Or Worse|John Prine|1bf1EYVB9GkgDkbGTrSiyT|5|10|+2
2016-12-24|15|Signs Of Light|The Head And The Heart|0EFitK3T7hqin7iGMbpltM|1|13|+2
2016-12-24|16|Stranger To Stranger|Paul Simon|1ujZpTYHOc5XS0JIBKjUaI|1|20|+7
2016-12-24|17|True Sadness|The Avett Brothers|6aMhaNYwh1OwoJnNrNbm6Q|1|21|-6
2016-12-24|18|Acoustic Recordings: 1998-2016|Jack White|28ZpbmiMcDjsms2UKjILCr|2|11|0
2016-12-24|19|A Little Something More From Nathaniel Rateliff & The Night Sweats|Nathaniel Rateliff & The Night Sweats|50F6chRFRN4SXhktKkEg45|3|3|-5
2016-12-24|20|Blue Mountain|Bob Weir|7dmOAk0RGFp5T4TaOoPxFl|3|8|+1
2016-12-24|21|American Band|Drive-By Truckers|43EtynQuS3r5afZnSY1sYb|4|9|Re-Entry
2016-12-24|22|The 1966 Live Recordings|Bob Dylan||4|3|-3
2016-12-24|23|The Light Came Down|Josh Garrels|69jXtqUEHCVsB5geUWN1Yl|6|3|-16
2016-12-24|24|Swimmin' Pools, Movie Stars...|Dwight Yoakam|3TQX6fqahJ102KUTfEr9lR|2|6|Re-Entry
2016-12-24|25|Peace Be With You|Chuck Murphy|7nOei0Z1qZENAwAgE4ZrD9|3|9|-15
2016-12-17|1|Traveller|Chris Stapleton|5vfPzN4hQAajJEUrZHlJgx|1|29|0
2016-12-17|2|You Want It Darker|Leonard Cohen|27eWVkS6UHIGouKtlfN1uT|1|6|0
